,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
111,FDS,8.89,0.005505481,Frozen Foods,102.4016,17,,ST1,2732.4432
113,FDX,,0.071636937,Snack Foods,121.7098,27,M,ST3,4097.3332
114,FDV,9.1,0.0,Breads,173.2054,45,,ST1,3151.8972
115,FDD,7.5,0.032677677999999995,Frozen Foods,239.0906,49,M,ST1,5942.265
116,FDZ,16.85,0.160760054,Frozen Foods,192.4478,17,,ST1,4843.695
118,DRA,11.6,0.041177505,Soft Drinks,140.3154,17,,ST1,2552.6772
120,NCF,13.0,0.035307322,Household,47.5034,17,,ST1,680.4476
122,FDB,20.25,0.171938781,Canned,92.512,10,,GS,186.424
123,FDJ,8.6,0.040197932,Canned,190.153,35,S,ST1,3036.048
125,FDL,17.7,0.01161096,Frozen Foods,95.041,35,S,ST1,868.8689999999999
126,DRI,14.15,0.183507295,Soft Drinks,82.4276,46,S,ST1,1137.1864
127,FDV,19.25,0.102349519,Dairy,52.7956,17,,ST1,928.1252
129,NCP,20.5,0.032835147,Household,40.2822,45,,ST1,707.0796
130,FDY,,0.033809913,Canned,180.5976,27,M,ST3,7968.2944
133,FDS,8.89,0.009163216,Frozen Foods,101.7016,10,,GS,101.2016
134,FDG,7.855,0.011307038,Canned,188.5188,18,M,ST2,952.0939999999999
135,NCO,7.235,0.076855628,Household,116.0492,46,S,ST1,1969.4364
136,FDH,,0.059956876,Starchy Foods,165.4526,27,M,ST3,5262.4832
137,FDB,6.92,0.038532062,Dairy,60.5852,45,,ST1,1314.2892
141,NCX,9.195,0.048331717,Household,105.1622,17,,ST1,1693.7952
142,NCO,12.8,0.091221855,Others,105.5938,45,,ST1,2143.876
143,NCC,16.6,0.027622076000000002,Household,177.6344,49,M,ST1,2676.5159999999996
144,FDI,14.0,0.0,Frozen Foods,53.06399999999999,35,S,ST1,905.488
145,FDP,18.6,0.039355947,Frozen Foods,246.3802,49,M,ST1,7370.406
146,FDB,16.0,0.060836524,Starchy Foods,226.8404,35,S,ST1,6301.1312
147,NCB,17.6,0.082316506,Health and Hygiene,160.692,35,S,ST1,1597.92
148,FDA,21.25,0.155350299,Snack Foods,178.237,35,S,ST1,529.311
149,NCO,7.235,0.076841095,Household,117.5492,35,S,ST1,1969.4364
150,DRJ,14.6,0.151419185,Soft Drinks,50.3692,17,,ST1,1034.6532
151,FDR,13.85,0.026001976,Frozen Foods,161.52100000000002,18,M,ST2,1794.3310000000001
152,FDI,13.65,0.073209447,Frozen Foods,197.6426,18,M,ST2,2768.3964
153,DRK,,0.041683481,Soft Drinks,31.29,27,M,ST3,898.83
155,NCI,18.35,0.014081156000000001,Household,223.5746,18,M,ST2,3589.9936
156,FDB,5.465,0.0,Baking Goods,132.5626,18,M,ST2,262.3252
157,FDN,18.6,0.152918384,Breakfast,99.8358,17,,ST1,1910.1802
158,DRD,13.85,0.030969273999999998,Soft Drinks,140.9154,17,,ST1,1701.7848
159,FDQ,14.0,0.06037677599999999,Frozen Foods,154.5656,13,H,ST1,2471.4496
160,FDM,14.0,0.04192285,Snack Foods,54.763999999999996,13,H,ST1,1331.6
162,FDV,5.905,0.045838211,Canned,222.5456,18,M,ST2,3315.684
164,FDW,6.155,0.09465987099999999,Meat,214.55599999999998,46,S,ST1,2769.728
165,DRL,19.5,0.077608838,Soft Drinks,233.4958,17,,ST1,5375.0034
166,FDP,15.2,0.021327477,Canned,216.8824,17,,ST1,2838.9712
167,FDL,12.15,0.042485444000000004,Canned,125.0046,18,M,ST2,1743.0644
168,NCB,,0.025578526,Household,198.8084,27,M,ST3,5555.4352
169,FDW,12.6,0.048980800000000005,Breads,61.9194,18,M,ST2,619.194
170,NCM,14.5,0.019471688,Others,164.821,35,S,ST1,2120.573
171,FDK,16.6,0.122918852,Fruits and Vegetables,173.0738,17,,ST1,3823.0236
172,FDM,11.8,0.057373797000000004,Meat,151.4366,13,H,ST1,1360.2294
174,FDI,17.7,0.291865402,Fruits and Vegetables,115.1834,10,,GS,345.5502
175,FDR,17.85,0.0,Breads,196.5794,10,,GS,585.2382
176,FDB,12.3,0.064750025,Starchy Foods,92.6804,45,,ST1,1010.6844
177,NCU,11.8,0.098312421,Health and Hygiene,81.4618,10,,GS,161.1236
178,DRY,,0.191013663,Soft Drinks,42.1112,19,S,GS,42.6112
180,FDQ,,0.060134441,Frozen Foods,153.0656,27,M,ST3,6024.1584
181,FDV,11.3,0.0072946519999999996,Meat,198.1426,45,,ST1,988.7130000000001
182,NCO,,0.128478462,Health and Hygiene,117.944,19,S,GS,239.688
183,FDU,5.75,0.075107656,Dairy,112.8176,13,H,ST1,1374.2112
184,FDT,,0.049381405999999996,Baking Goods,226.8062,27,M,ST3,4739.8302
185,FDK,11.35,0.045165795999999994,Snack Foods,100.0016,18,M,ST2,1012.0160000000001
187,NCW,14.0,0.028907832,Health and Hygiene,130.431,49,M,ST1,778.9860000000001
188,FDE,19.75,0.018059621,Frozen Foods,179.766,45,,ST1,2336.958
189,NCB,6.525,0.09043609400000001,Household,85.0882,49,M,ST1,2233.0932
190,FDV,10.3,0.146399712,Meat,103.9648,49,M,ST1,1661.8368
191,FDL,5.78,0.07426435599999999,Snack Foods,264.7568,49,M,ST1,4745.8224
192,FDA,11.85,0.050186725999999994,Fruits and Vegetables,164.1526,45,,ST1,3124.5994
193,FDT,16.35,0.020631654,Fruits and Vegetables,50.1324,18,M,ST2,467.3916
194,NCX,,0.01561108,Household,182.5976,27,M,ST3,5070.7328
195,FDT,10.5,0.041395445,Fruits and Vegetables,37.6164,46,S,ST1,540.6296
196,FDB,19.0,0.097313129,Frozen Foods,48.0718,46,S,ST1,992.7078
199,FDX,,0.101338651,Canned,232.63,27,M,ST3,5359.69
200,NCM,18.75,0.052146455999999994,Health and Hygiene,104.62799999999999,45,,ST1,745.696
201,FDE,5.26,0.041764487,Baking Goods,161.8868,35,S,ST1,3275.736
202,FDN,18.25,0.054344185999999996,Snack Foods,140.2154,45,,ST1,1701.7848
203,FDI,,0.07836248400000001,Baking Goods,177.937,27,M,ST3,6704.606
204,FDI,15.1,0.052339069,Meat,242.7512,46,S,ST1,4119.9704
205,FDF,15.5,0.042464962,Baking Goods,81.5934,10,,GS,327.5736
206,FDG,13.65,0.06573288299999999,Frozen Foods,45.7402,49,M,ST1,780.9834
207,DRF,16.1,0.023625114,Soft Drinks,189.3846,45,,ST1,3630.6074
208,FDS,,0.051643608,Snack Foods,107.3622,19,S,GS,317.5866
210,DRK,9.5,0.041878397000000005,Soft Drinks,32.99,35,S,ST1,133.16
211,DRC,13.8,0.058091482,Dairy,245.1802,35,S,ST1,5650.6446
212,FDL,5.78,0.0,Snack Foods,263.7568,17,,ST1,2636.5679999999998
213,NCD,19.7,0.026903714,Household,96.0726,45,,ST1,1272.3438
214,NCZ,14.65,0.0,Household,161.5552,10,,GS,324.9104
215,FDE,6.67,0.150554711,Snack Foods,130.0626,10,,GS,131.1626
217,FDP,13.65,0.13497562800000001,Frozen Foods,260.0936,10,,GS,260.9936
218,FDX,17.2,0.15616879,Meat,160.6578,13,H,ST1,3690.5294
219,FDA,6.32,0.0,Meat,40.2822,35,S,ST1,1139.1838
221,FDC,5.425,0.115119905,Baking Goods,88.3514,17,,ST1,1416.8224
223,FDT,7.5,0.051038045,Canned,121.7072,17,,ST1,3552.7088
226,FDW,20.75,0.024129332000000003,Fruits and Vegetables,124.17299999999999,13,H,ST1,2956.152
227,DRF,,0.049754975,Dairy,152.134,19,S,GS,153.134
228,FDS,9.0,0.0,Canned,79.7644,35,S,ST1,1649.8524
230,NCX,,0.0059496440000000005,Household,165.6526,27,M,ST3,4769.1254
231,FDG,,0.13956116,Seafood,170.4764,27,M,ST3,3435.528
233,FDF,7.55,0.027164679,Canned,152.334,35,S,ST1,2603.278
234,NCD,13.0,0.099325278,Household,45.406000000000006,46,S,ST1,605.878
236,FDS,,0.082741482,Snack Foods,118.7782,19,S,GS,119.1782
237,FDB,12.3,0.064565202,Starchy Foods,92.9804,13,H,ST1,1929.4884
238,FDX,,0.08455456900000001,Snack Foods,109.8912,27,M,ST3,2074.6328
239,NCU,,0.058451805,Health and Hygiene,79.9618,27,M,ST3,241.6854
240,NCR,17.25,0.113748685,Household,251.3724,45,,ST1,6795.1548
241,NCR,15.85,0.020603511,Household,42.7112,17,,ST1,639.168
242,NCU,18.85,0.052044976,Health and Hygiene,192.1846,35,S,ST1,3248.4382
243,FDY,16.35,0.06276442900000001,Fruits and Vegetables,227.6062,17,,ST1,7222.5984
244,DRJ,14.1,0.08797726199999999,Dairy,229.0668,35,S,ST1,3225.1352
245,FDK,7.905,0.010010425,Snack Foods,249.0408,35,S,ST1,3755.112
248,FDL,10.1,0.027106459,Meat,75.367,49,M,ST1,535.969
249,FDF,17.5,0.027022882999999998,Frozen Foods,262.491,17,,ST1,5259.82
250,DRF,,0.058153409,Dairy,152.034,19,S,GS,306.268
251,FDL,17.1,0.128937661,Fruits and Vegetables,112.3886,18,M,ST2,1779.0176
252,FDV,7.785,0.088846306,Fruits and Vegetables,61.451,49,M,ST1,759.012
253,FDJ,11.8,0.09357779,Snack Foods,125.9704,13,H,ST1,1877.556
254,FDG,13.15,0.165694678,Fruits and Vegetables,171.8764,45,,ST1,3779.0808
255,FDQ,,0.148392623,Frozen Foods,41.5796,19,S,GS,41.2796
256,FDW,8.5,0.098438394,Canned,51.1324,17,,ST1,259.66200000000003
257,NCI,8.645,0.143303291,Health and Hygiene,96.34100000000001,13,H,ST1,193.082
258,FDY,17.6,0.076276208,Meat,110.9202,45,,ST1,1687.8029999999999
259,FDS,9.1,0.175103435,Baking Goods,127.5362,17,,ST1,4655.9394
260,FDJ,12.8,0.023511371,Meat,225.9404,13,H,ST1,4950.8888
261,DRK,7.63,0.06105276,Soft Drinks,95.4436,35,S,ST1,1418.154
262,FDG,9.285,0.049559042000000005,Frozen Foods,246.4144,17,,ST1,1225.072
263,FDY,13.6,0.119418124,Dairy,231.03,45,,ST1,5359.69
264,FDN,8.895,0.072545601,Breakfast,176.237,45,,ST1,1764.37
265,NCR,16.35,0.090486828,Household,195.21099999999998,13,H,ST1,2553.343
266,FDG,17.6,0.056245075,Frozen Foods,43.3454,13,H,ST1,1006.6896
268,FDG,15.85,0.04347912599999999,Starchy Foods,36.7164,17,,ST1,308.9312
269,FDM,15.7,0.045166237000000005,Frozen Foods,178.666,13,H,ST1,2516.724
270,FDW,8.985,0.057827101,Frozen Foods,128.83100000000002,46,S,ST1,1428.141
271,FDS,20.35,0.089394766,Dairy,260.1594,13,H,ST1,2093.2752
272,FDQ,6.59,0.10550944,Fruits and Vegetables,85.6908,13,H,ST1,1929.4884
274,FDL,16.85,0.036390174,Snack Foods,91.4488,46,S,ST1,2082.6224
275,FDH,,0.03292824,Meat,173.1738,27,M,ST3,7298.4996
276,FDY,16.75,0.081252534,Fruits and Vegetables,256.4988,13,H,ST1,7452.9652
277,FDY,17.6,0.076552407,Meat,110.5202,17,,ST1,450.0808
278,FDK,7.905,0.016758568999999997,Snack Foods,250.4408,10,,GS,500.6816
279,FDZ,,0.044248175,Snack Foods,126.20200000000001,27,M,ST3,3668.558
280,FDZ,7.785,0.038288087,Fruits and Vegetables,103.1964,18,M,ST2,736.3748
282,NCF,,0.031867464,Household,101.0016,27,M,ST3,2125.2336
283,DRE,20.75,0.021370201000000002,Soft Drinks,153.0024,17,,ST1,2277.036
284,FDJ,,0.193772568,Fruits and Vegetables,190.3846,19,S,GS,573.2538
285,FDT,6.26,0.009866049,Meat,151.1366,35,S,ST1,2267.049
286,FDE,18.2,0.082551042,Fruits and Vegetables,147.3734,10,,GS,296.9468
287,NCD,13.0,0.099729888,Household,46.306000000000004,18,M,ST2,559.2719999999999
288,FDB,20.25,0.018801549,Fruits and Vegetables,222.1772,35,S,ST1,5559.43
291,FDM,,0.060371962,Breakfast,174.0712,27,M,ST3,3866.9664
292,FDF,12.85,0.033287541000000004,Fruits and Vegetables,198.4768,45,,ST1,1379.5376
293,FDH,7.075,0.05858462,Dairy,142.7128,18,M,ST2,1869.5664
295,FDY,8.195,0.031452265,Baking Goods,94.3462,49,M,ST1,925.462
296,FDK,7.09,0.00721395,Baking Goods,47.9034,35,S,ST1,583.2408
297,NCM,6.095,0.081196619,Others,141.4154,46,S,ST1,1418.154
300,FDV,,0.02747716,Canned,87.9856,27,M,ST3,3251.7672
301,FDV,,0.10470453699999999,Fruits and Vegetables,125.2678,19,S,GS,254.3356
302,NCQ,17.7,0.012540003000000001,Household,167.0474,35,S,ST1,5895.659000000001
303,FDO,17.85,0.147023834,Breads,93.7436,18,M,ST2,1134.5232
304,DRE,9.395,0.15965759599999998,Soft Drinks,224.972,45,,ST1,7696.648
307,FDR,7.075,0.0,Frozen Foods,98.0068,18,M,ST2,874.8612
309,FDX,19.1,0.09671552300000001,Fruits and Vegetables,235.0958,35,S,ST1,3038.0454
310,FDD,20.25,0.014790558999999998,Dairy,193.6162,35,S,ST1,3848.324
311,FDA,15.0,0.054378253,Canned,59.1904,46,S,ST1,527.3136
312,FDS,6.67,0.123428594,Snack Foods,89.1514,46,S,ST1,2390.8878
313,FDM,,0.029943462999999997,Canned,60.222,27,M,ST3,1677.816
314,FDB,16.7,0.052368060999999994,Frozen Foods,112.7176,13,H,ST1,801.6232
315,FDF,7.07,0.09386114400000001,Snack Foods,115.5834,45,,ST1,1267.0174
317,FDC,19.0,0.173154079,Fruits and Vegetables,228.27200000000002,10,,GS,452.744
318,FDB,13.35,0.139735226,Frozen Foods,147.5392,45,,ST1,3877.6192
319,FDY,,0.043351895999999994,Fruits and Vegetables,146.6418,27,M,ST3,4414.254
320,DRQ,,0.042086652,Hard Drinks,122.4388,27,M,ST3,5448.9072
321,FDX,9.695,0.12848269,Baking Goods,223.9404,49,M,ST1,4950.8888
322,DRD,15.0,0.049357077,Soft Drinks,62.6168,17,,ST1,958.752
323,FDC,11.15,0.008326735,Dairy,149.9708,17,,ST1,1956.1204
324,FDB,20.85,0.021362955,Fruits and Vegetables,103.2306,49,M,ST1,2404.2038
325,NCK,9.8,0.151420934,Others,194.3478,10,,GS,387.4956
327,FDZ,9.6,0.022323658,Breads,101.29899999999999,45,,ST1,1754.3829999999998
328,NCW,,0.019292355,Health and Hygiene,129.9994,27,M,ST3,3340.9844
329,FDV,13.35,0.048124442999999996,Breads,216.7166,45,,ST1,3918.8988
330,DRH,20.7,0.09261307,Dairy,76.367,13,H,ST1,306.268
331,FDN,,0.094697274,Baking Goods,158.4604,27,M,ST3,4278.4308
332,FDU,16.2,0.035984103999999996,Fruits and Vegetables,260.6278,45,,ST1,4425.5726
334,FDC,,0.2047,Frozen Foods,76.867,19,S,GS,229.701
335,FDO,,0.020618324,Breakfast,129.3994,27,M,ST3,2055.9904
337,FDQ,15.1,0.087584126,Fruits and Vegetables,221.7456,45,,ST1,6410.3224
338,FDF,15.7,0.038078899,Frozen Foods,122.9046,17,,ST1,1992.0736
339,FDM,7.895,0.095102092,Breakfast,104.4332,17,,ST1,2870.9296
343,NCY,20.25,0.026005891,Household,180.9976,45,,ST1,2716.4640000000004
345,DRI,15.85,0.107765165,Soft Drinks,59.5904,49,M,ST1,703.0848
348,NCB,19.2,0.077628053,Household,197.611,49,M,ST1,3142.5759999999996
350,FDP,20.85,0.056695731,Breads,104.0648,18,M,ST2,1869.5664
351,FDR,14.5,0.063993068,Breads,260.4594,45,,ST1,5494.8474
352,FDT,11.395,0.06952926200000001,Meat,233.1616,13,H,ST1,6093.4016
354,FDU,7.71,0.06670068,Snack Foods,55.2956,49,M,ST1,1255.6988
355,FDH,19.25,0.034699737,Canned,141.7496,46,S,ST1,4093.3384
357,FDN,,0.065203103,Meat,166.0816,27,M,ST3,5033.448
358,FDH,11.6,0.07892957099999999,Frozen Foods,79.9276,46,S,ST1,1137.1864
359,FDJ,,0.18251488100000002,Fruits and Vegetables,98.77,27,M,ST3,2696.49
360,DRN,12.1,0.016895293000000002,Hard Drinks,178.56599999999997,18,M,ST2,898.83
361,NCO,10.0,0.073379745,Health and Hygiene,118.244,46,S,ST1,2756.4120000000003
362,FDX,14.35,0.08075758,Baking Goods,81.896,45,,ST1,878.8560000000001
364,FDX,,0.153741385,Dairy,182.6292,19,S,GS,182.4292
365,FDG,8.1,0.127929521,Fruits and Vegetables,211.4902,13,H,ST1,3610.6334
366,FDD,8.05,0.07838564,Fruits and Vegetables,256.4646,35,S,ST1,5153.292
367,FDS,9.195,0.078502143,Meat,108.7596,17,,ST1,2588.6304
368,FDL,20.7,0.047684831,Dairy,212.5876,18,M,ST2,1286.3256
369,FDL,15.7,0.12315965599999999,Fruits and Vegetables,110.1544,17,,ST1,1230.3984
370,FDZ,,0.0,Fruits and Vegetables,60.2194,27,M,ST3,1733.7432
372,NCA,16.5,0.036715907,Household,180.0318,45,,ST1,3969.4996
373,FDX,9.0,0.065236932,Snack Foods,176.437,35,S,ST1,7763.228
374,FDO,6.785,0.041947547,Meat,41.2112,13,H,ST1,809.6128
375,FDW,19.5,0.08288849599999999,Canned,178.6002,18,M,ST2,1253.7014
376,FDB,7.575,0.055390120999999994,Dairy,195.2768,46,S,ST1,5715.2272
377,FDF,18.2,0.012194556,Fruits and Vegetables,57.7904,13,H,ST1,1464.76
378,FDV,16.75,0.060495243,Dairy,169.8106,13,H,ST1,3251.1014
381,FDR,,0.160707489,Fruits and Vegetables,38.019,27,M,ST3,1318.2839999999999
382,FDP,13.85,0.085622362,Meat,119.4124,18,M,ST2,2251.7356
383,FDL,6.635,0.046350909,Frozen Foods,37.4506,17,,ST1,1176.4686
384,FDR,6.11,0.102920886,Fruits and Vegetables,130.4968,46,S,ST1,3523.4136
385,FDB,15.25,0.026604781,Snack Foods,86.2198,35,S,ST1,610.5386
386,FDC,15.85,0.0,Canned,96.4094,35,S,ST1,1237.7222
387,FDT,15.2,0.031860325,Snack Foods,235.1248,10,,GS,474.0496
388,FDP,,0.0,Snack Foods,52.6666,27,M,ST3,717.7324
389,DRE,20.75,0.021250002,Soft Drinks,150.5024,46,S,ST1,2580.6408
390,FDM,10.195,0.159936948,Frozen Foods,143.2154,46,S,ST1,2552.6772
391,FDY,7.605,0.12950314599999999,Fruits and Vegetables,164.021,45,,ST1,3914.9040000000005
392,FDW,18.0,0.142688846,Fruits and Vegetables,88.5514,46,S,ST1,796.9626
393,FDU,,0.179484411,Dairy,228.9352,19,S,GS,916.1408
394,NCF,18.35,0.08916305599999999,Household,191.3504,45,,ST1,3259.7568
395,FDQ,6.59,0.105761491,Fruits and Vegetables,84.8908,49,M,ST1,1677.816
397,FDG,21.2,0.00704098,Starchy Foods,173.5738,46,S,ST1,2954.1546
399,NCE,8.97,0.093203257,Household,52.7956,45,,ST1,1037.3164
400,NCK,,0.026916793999999997,Others,50.9666,27,M,ST3,717.7324
402,FDT,13.65,0.015908423999999997,Breads,231.1668,35,S,ST1,6911.004
403,NCX,19.0,0.017719277,Health and Hygiene,211.0244,46,S,ST1,3811.0392
404,FDU,,0.035334201,Snack Foods,115.3518,27,M,ST3,2277.036
405,FDW,,0.065652494,Baking Goods,48.9034,19,S,GS,48.6034
406,FDF,6.865,0.056919038,Snack Foods,212.8218,49,M,ST1,5770.4886
407,FDM,10.8,0.048143292000000004,Baking Goods,40.2138,46,S,ST1,690.4346
410,FDS,15.15,0.027779254,Baking Goods,150.1708,46,S,ST1,1504.7079999999999
411,NCZ,10.5,0.0,Household,238.3248,10,,GS,711.0744
412,FDZ,17.6,0.008033611,Dairy,174.2422,18,M,ST2,4311.055
414,NCB,15.7,0.160663021,Household,59.4562,46,S,ST1,829.5868
415,FDC,18.1,0.178975721,Dairy,155.5288,17,,ST1,1571.2879999999998
