Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
FDJ,15.6,0.105296072,Snack Foods,170.1764,46,S,ST1,3435.528
FDL,15.85,0.121531501,Baking Goods,59.222,13,H,ST1,599.22
FDH,18.25,0,Starchy Foods,164.7526,45,,ST1,4604.6728
FDG,7.855,0.011324862,Canned,189.6188,17,,ST1,2285.0256
NCZ,7.825,0.186357148,Household,254.3698,49,M,ST1,5580.7356
FDC,8.39,0.024205661,Frozen Foods,114.0176,46,S,ST1,2290.352
FDQ,12.85,0.033230816,Snack Foods,172.3422,49,M,ST1,1207.0954
FDN,,0.113720344,Baking Goods,89.9804,19,S,GS,643.1628
FDL,19,0.112556507,Frozen Foods,104.9622,17,,ST1,1587.933
FDV,5.905,0,Canned,222.5456,45,,ST1,5305.0944
FDD,7.76,0.059352241,Snack Foods,101.87,46,S,ST1,1697.79
FDN,11.8,0.014087057,Frozen Foods,180.3344,46,S,ST1,1427.4752
FDV,16.75,0.045230944,Snack Foods,187.9556,18,M,ST2,4693.89
NCL,,0.293417759,Household,194.6136,19,S,GS,583.2408
FDR,,0.031382044,Baking Goods,171.3764,27,M,ST3,3091.9752
FDG,15.5,0.12639886,Fruits and Vegetables,177.0028,17,,ST1,2479.4392
FDZ,6.055,0.025403898,Fruits and Vegetables,160.992,35,S,ST1,2716.464
FDQ,,0.039057677,Breakfast,155.963,27,M,ST3,3285.723
FDN,6.305,0.123115764,Snack Foods,95.6436,46,S,ST1,661.8052
FDN,20.85,0.039624006,Meat,117.2808,49,M,ST1,1523.3504
FDW,20.75,0.040421193,Fruits and Vegetables,122.173,10,,GS,369.519
DRG,8.895,0.105274111,Dairy,39.9138,49,M,ST1,690.4346
DRI,19.6,0.033970195,Soft Drinks,55.1614,45,,ST1,1381.535
FDA,19.7,0.053212652,Fruits and Vegetables,57.893,35,S,ST1,622.523
NCR,9.8,0.024378706,Health and Hygiene,114.5492,35,S,ST1,1274.3412
FDU,,0.009714595,Frozen Foods,120.0414,19,S,GS,487.3656
FDF,12.15,0.131383762,Frozen Foods,246.046,49,M,ST1,1231.73
FDB,8.75,0.07461309,Fruits and Vegetables,187.4556,35,S,ST1,3755.112
NCP,,0.028459761,Household,149.9708,27,M,ST3,4363.6532
FDB,8.75,0.074627201,Fruits and Vegetables,187.8556,46,S,ST1,1314.2892
FDT,13.3,0.063695084,Frozen Foods,151.0708,45,,ST1,1805.6496
FDD,,0.045797829,Snack Foods,178.5344,27,M,ST3,2854.9504
FDW,8.31,0.115857223,Snack Foods,179.1028,49,M,ST1,3896.2616
DRB,16.75,0.024832806,Soft Drinks,38.7822,13,H,ST1,667.7974
FDP,19.75,0.034027909,Snack Foods,212.0902,18,M,ST2,3185.853
FDH,17.1,0.0467696,Canned,141.1838,13,H,ST1,2247.7408
FDA,10.5,0.116576702,Baking Goods,163.121,13,H,ST1,1794.331
FDG,6.635,0,Baking Goods,121.3098,45,,ST1,2530.7058
DRE,,0.278974075,Soft Drinks,225.372,19,S,GS,679.116
DRK,14.15,0.035913805,Soft Drinks,41.4138,13,H,ST1,812.276
FDD,13.3,0.079806266,Dairy,232.53,46,S,ST1,699.09
FDS,8.89,0.005505481,Frozen Foods,102.4016,17,,ST1,2732.4432
FDW,,0.064625342,Meat,176.937,19,S,GS,176.437
FDX,,0.071636937,Snack Foods,121.7098,27,M,ST3,4097.3332
FDV,9.1,0,Breads,173.2054,45,,ST1,3151.8972
FDD,7.5,0.032677678,Frozen Foods,239.0906,49,M,ST1,5942.265
FDZ,16.85,0.160760054,Frozen Foods,192.4478,17,,ST1,4843.695
FDZ,7.485,0.06911065,Snack Foods,109.0228,35,S,ST1,2542.0244
DRA,11.6,0.041177505,Soft Drinks,140.3154,17,,ST1,2552.6772
FDY,11.65,0.040081193,Snack Foods,227.0694,18,M,ST2,1141.847
NCF,13,0.035307322,Household,47.5034,17,,ST1,680.4476
DRJ,12.65,0.063017847,Soft Drinks,159.0578,45,,ST1,2085.9514
FDB,20.25,0.171938781,Canned,92.512,10,,GS,186.424
FDJ,8.6,0.040197932,Canned,190.153,35,S,ST1,3036.048
FDW,12.6,0.049058014,Breads,62.7194,17,,ST1,866.8716
FDL,17.7,0.01161096,Frozen Foods,95.041,35,S,ST1,868.869
DRI,14.15,0.183507295,Soft Drinks,82.4276,46,S,ST1,1137.1864
FDV,19.25,0.102349519,Dairy,52.7956,17,,ST1,928.1252
DRG,8.88,0.086708987,Hard Drinks,151.7682,13,H,ST1,762.341
NCP,20.5,0.032835147,Household,40.2822,45,,ST1,707.0796
FDY,,0.033809913,Canned,180.5976,27,M,ST3,7968.2944
NCH,13.5,0.07266912,Household,160.292,46,S,ST1,1438.128
NCR,,0.144338493,Health and Hygiene,224.4404,27,M,ST3,6976.2524
FDS,8.89,0.009163216,Frozen Foods,101.7016,10,,GS,101.2016
FDG,7.855,0.011307038,Canned,188.5188,18,M,ST2,952.094
NCO,7.235,0.076855628,Household,116.0492,46,S,ST1,1969.4364
FDH,,0.059956876,Starchy Foods,165.4526,27,M,ST3,5262.4832
FDB,6.92,0.038532062,Dairy,60.5852,45,,ST1,1314.2892
FDX,9.3,0.043209581,Fruits and Vegetables,90.8172,17,,ST1,535.3032
NCN,18.5,0.056816465,Others,132.1284,10,,GS,263.6568
NCC,8.02,0.019866705,Household,154.5972,35,S,ST1,1402.1748
NCX,9.195,0.048331717,Household,105.1622,17,,ST1,1693.7952
NCO,12.8,0.091221855,Others,105.5938,45,,ST1,2143.876
NCC,16.6,0.027622076,Household,177.6344,49,M,ST1,2676.516
FDI,14,0,Frozen Foods,53.064,35,S,ST1,905.488
FDP,18.6,0.039355947,Frozen Foods,246.3802,49,M,ST1,7370.406
FDB,16,0.060836524,Starchy Foods,226.8404,35,S,ST1,6301.1312
NCB,17.6,0.082316506,Health and Hygiene,160.692,35,S,ST1,1597.92
FDA,21.25,0.155350299,Snack Foods,178.237,35,S,ST1,529.311
NCO,7.235,0.076841095,Household,117.5492,35,S,ST1,1969.4364
DRJ,14.6,0.151419185,Soft Drinks,50.3692,17,,ST1,1034.6532
FDR,13.85,0.026001976,Frozen Foods,161.521,18,M,ST2,1794.331
FDI,13.65,0.073209447,Frozen Foods,197.6426,18,M,ST2,2768.3964
DRK,,0.041683481,Soft Drinks,31.29,27,M,ST3,898.83
FDX,7.365,0.042560252,Fruits and Vegetables,226.172,46,S,ST1,3169.208
NCI,18.35,0.014081156,Household,223.5746,18,M,ST2,3589.9936
FDB,5.465,0,Baking Goods,132.5626,18,M,ST2,262.3252
FDN,18.6,0.152918384,Breakfast,99.8358,17,,ST1,1910.1802
DRD,13.85,0.030969274,Soft Drinks,140.9154,17,,ST1,1701.7848
FDQ,14,0.060376776,Frozen Foods,154.5656,13,H,ST1,2471.4496
FDM,14,0.04192285,Snack Foods,54.764,13,H,ST1,1331.6
FDR,,0.077367431,Fruits and Vegetables,97.0094,27,M,ST3,1808.9786
FDV,5.905,0.045838211,Canned,222.5456,18,M,ST2,3315.684
DRF,7.27,0.071077939,Soft Drinks,114.2518,46,S,ST1,2618.5914
FDW,6.155,0.094659871,Meat,214.556,46,S,ST1,2769.728
DRL,19.5,0.077608838,Soft Drinks,233.4958,17,,ST1,5375.0034
FDP,15.2,0.021327477,Canned,216.8824,17,,ST1,2838.9712
FDL,12.15,0.042485444,Canned,125.0046,18,M,ST2,1743.0644
NCB,,0.025578526,Household,198.8084,27,M,ST3,5555.4352
FDW,12.6,0.0489808,Breads,61.9194,18,M,ST2,619.194
NCM,14.5,0.019471688,Others,164.821,35,S,ST1,2120.573
FDK,16.6,0.122918852,Fruits and Vegetables,173.0738,17,,ST1,3823.0236
FDM,11.8,0.057373797,Meat,151.4366,13,H,ST1,1360.2294
FDS,13.1,0.044155597,Fruits and Vegetables,178.8318,13,H,ST1,3969.4996
FDI,17.7,0.291865402,Fruits and Vegetables,115.1834,10,,GS,345.5502
FDR,17.85,0,Breads,196.5794,10,,GS,585.2382
FDB,12.3,0.064750025,Starchy Foods,92.6804,45,,ST1,1010.6844
NCU,11.8,0.098312421,Health and Hygiene,81.4618,10,,GS,161.1236
DRY,,0.191013663,Soft Drinks,42.1112,19,S,GS,42.6112
FDO,11.1,0.176573035,Baking Goods,157.4604,45,,ST1,3010.7476
FDQ,,0.060134441,Frozen Foods,153.0656,27,M,ST3,6024.1584
FDV,11.3,0.007294652,Meat,198.1426,45,,ST1,988.713
NCO,,0.128478462,Health and Hygiene,117.944,19,S,GS,239.688
FDU,5.75,0.075107656,Dairy,112.8176,13,H,ST1,1374.2112
FDT,,0.049381406,Baking Goods,226.8062,27,M,ST3,4739.8302
FDK,11.35,0.045165796,Snack Foods,100.0016,18,M,ST2,1012.016
FDO,,0.09415375,Fruits and Vegetables,165.7526,19,S,GS,657.8104
NCW,14,0.028907832,Health and Hygiene,130.431,49,M,ST1,778.986
FDE,19.75,0.018059621,Frozen Foods,179.766,45,,ST1,2336.958
NCB,6.525,0.090436094,Household,85.0882,49,M,ST1,2233.0932
FDV,10.3,0.146399712,Meat,103.9648,49,M,ST1,1661.8368
FDL,5.78,0.074264356,Snack Foods,264.7568,49,M,ST1,4745.8224
FDA,11.85,0.050186726,Fruits and Vegetables,164.1526,45,,ST1,3124.5994
FDT,16.35,0.020631654,Fruits and Vegetables,50.1324,18,M,ST2,467.3916
NCX,,0.01561108,Household,182.5976,27,M,ST3,5070.7328
FDT,10.5,0.041395445,Fruits and Vegetables,37.6164,46,S,ST1,540.6296
FDB,19,0.097313129,Frozen Foods,48.0718,46,S,ST1,992.7078
NCN,14.6,0.059582996,Others,238.8538,49,M,ST1,6008.845
FDE,,0.098663652,Dairy,62.9194,27,M,ST3,2105.2596
FDX,,0.101338651,Canned,232.63,27,M,ST3,5359.69
NCM,18.75,0.052146456,Health and Hygiene,104.628,45,,ST1,745.696
FDE,5.26,0.041764487,Baking Goods,161.8868,35,S,ST1,3275.736
FDN,18.25,0.054344186,Snack Foods,140.2154,45,,ST1,1701.7848
FDI,,0.078362484,Baking Goods,177.937,27,M,ST3,6704.606
FDI,15.1,0.052339069,Meat,242.7512,46,S,ST1,4119.9704
FDF,15.5,0.042464962,Baking Goods,81.5934,10,,GS,327.5736
FDG,13.65,0.065732883,Frozen Foods,45.7402,49,M,ST1,780.9834
DRF,16.1,0.023625114,Soft Drinks,189.3846,45,,ST1,3630.6074
FDS,,0.051643608,Snack Foods,107.3622,19,S,GS,317.5866
FDX,12.85,0.165694219,Frozen Foods,39.7164,10,,GS,231.6984
DRK,9.5,0.041878397,Soft Drinks,32.99,35,S,ST1,133.16
DRC,13.8,0.058091482,Dairy,245.1802,35,S,ST1,5650.6446
FDL,5.78,0,Snack Foods,263.7568,17,,ST1,2636.568
NCD,19.7,0.026903714,Household,96.0726,45,,ST1,1272.3438
NCZ,14.65,0,Household,161.5552,10,,GS,324.9104
FDE,6.67,0.150554711,Snack Foods,130.0626,10,,GS,131.1626
FDR,6.11,0,Fruits and Vegetables,131.2968,10,,GS,260.9936
FDP,13.65,0.134975628,Frozen Foods,260.0936,10,,GS,260.9936
FDX,17.2,0.15616879,Meat,160.6578,13,H,ST1,3690.5294
FDA,6.32,0,Meat,40.2822,35,S,ST1,1139.1838
FDY,4.88,0.133700752,Baking Goods,52.9298,49,M,ST1,1995.4026
FDC,5.425,0.115119905,Baking Goods,88.3514,17,,ST1,1416.8224
FDH,15.85,0.110030997,Frozen Foods,37.2506,46,S,ST1,265.6542
FDT,7.5,0.051038045,Canned,121.7072,17,,ST1,3552.7088
DRJ,12.65,0.062837968,Soft Drinks,161.5578,13,H,ST1,2406.867
NCO,,0.017116983,Others,211.956,19,S,GS,213.056
FDW,20.75,0.024129332,Fruits and Vegetables,124.173,13,H,ST1,2956.152
DRF,,0.049754975,Dairy,152.134,19,S,GS,153.134
FDS,9,0,Canned,79.7644,35,S,ST1,1649.8524
FDX,,0.101561568,Canned,181.9292,27,M,ST3,3101.2964
NCX,,0.005949644,Household,165.6526,27,M,ST3,4769.1254
FDG,,0.13956116,Seafood,170.4764,27,M,ST3,3435.528
FDL,14.1,0.126035694,Fruits and Vegetables,86.4198,45,,ST1,1133.8574
FDF,7.55,0.027164679,Canned,152.334,35,S,ST1,2603.278
NCD,13,0.099325278,Household,45.406,46,S,ST1,605.878
DRM,,0.04357366,Hard Drinks,192.8846,27,M,ST3,2293.0152
FDS,,0.082741482,Snack Foods,118.7782,19,S,GS,119.1782
FDB,12.3,0.064565202,Starchy Foods,92.9804,13,H,ST1,1929.4884
FDX,,0.084554569,Snack Foods,109.8912,27,M,ST3,2074.6328
NCU,,0.058451805,Health and Hygiene,79.9618,27,M,ST3,241.6854
NCR,17.25,0.113748685,Household,251.3724,45,,ST1,6795.1548
NCR,15.85,0.020603511,Household,42.7112,17,,ST1,639.168
NCU,18.85,0.052044976,Health and Hygiene,192.1846,35,S,ST1,3248.4382
FDY,16.35,0.062764429,Fruits and Vegetables,227.6062,17,,ST1,7222.5984
DRJ,14.1,0.087977262,Dairy,229.0668,35,S,ST1,3225.1352
FDK,7.905,0.010010425,Snack Foods,249.0408,35,S,ST1,3755.112
FDY,12,0.033946163,Canned,179.3976,13,H,ST1,3440.8544
FDU,12.15,0.058414678,Fruits and Vegetables,163.4552,35,S,ST1,974.7312
FDL,10.1,0.027106459,Meat,75.367,49,M,ST1,535.969
FDF,17.5,0.027022883,Frozen Foods,262.491,17,,ST1,5259.82
DRF,,0.058153409,Dairy,152.034,19,S,GS,306.268
FDL,17.1,0.128937661,Fruits and Vegetables,112.3886,18,M,ST2,1779.0176
FDV,7.785,0.088846306,Fruits and Vegetables,61.451,49,M,ST1,759.012
FDJ,11.8,0.09357779,Snack Foods,125.9704,13,H,ST1,1877.556
FDG,13.15,0.165694678,Fruits and Vegetables,171.8764,45,,ST1,3779.0808
FDQ,,0.148392623,Frozen Foods,41.5796,19,S,GS,41.2796
FDW,8.5,0.098438394,Canned,51.1324,17,,ST1,259.662
NCI,8.645,0.143303291,Health and Hygiene,96.341,13,H,ST1,193.082
FDY,17.6,0.076276208,Meat,110.9202,45,,ST1,1687.803
FDS,9.1,0.175103435,Baking Goods,127.5362,17,,ST1,4655.9394
FDJ,12.8,0.023511371,Meat,225.9404,13,H,ST1,4950.8888
DRK,7.63,0.06105276,Soft Drinks,95.4436,35,S,ST1,1418.154
FDG,9.285,0.049559042,Frozen Foods,246.4144,17,,ST1,1225.072
FDY,13.6,0.119418124,Dairy,231.03,45,,ST1,5359.69
FDN,8.895,0.072545601,Breakfast,176.237,45,,ST1,1764.37
NCR,16.35,0.090486828,Household,195.211,13,H,ST1,2553.343
FDG,17.6,0.056245075,Frozen Foods,43.3454,13,H,ST1,1006.6896
FDG,7.975,0.014618973,Baking Goods,85.225,13,H,ST1,1081.925
FDG,15.85,0.043479126,Starchy Foods,36.7164,17,,ST1,308.9312
FDM,15.7,0.045166237,Frozen Foods,178.666,13,H,ST1,2516.724
FDW,8.985,0.057827101,Frozen Foods,128.831,46,S,ST1,1428.141
FDS,20.35,0.089394766,Dairy,260.1594,13,H,ST1,2093.2752
FDQ,6.59,0.10550944,Fruits and Vegetables,85.6908,13,H,ST1,1929.4884
FDK,19.85,0.005234153,Dairy,264.0884,35,S,ST1,5829.7448
FDL,16.85,0.036390174,Snack Foods,91.4488,46,S,ST1,2082.6224
FDH,,0.03292824,Meat,173.1738,27,M,ST3,7298.4996
FDY,16.75,0.081252534,Fruits and Vegetables,256.4988,13,H,ST1,7452.9652
FDY,17.6,0.076552407,Meat,110.5202,17,,ST1,450.0808
FDK,7.905,0.016758569,Snack Foods,250.4408,10,,GS,500.6816
FDZ,,0.044248175,Snack Foods,126.202,27,M,ST3,3668.558
FDZ,7.785,0.038288087,Fruits and Vegetables,103.1964,18,M,ST2,736.3748
NCZ,7.825,0.186032678,Household,253.0698,35,S,ST1,6088.0752
NCF,,0.031867464,Household,101.0016,27,M,ST3,2125.2336
DRE,20.75,0.021370201,Soft Drinks,153.0024,17,,ST1,2277.036
FDJ,,0.193772568,Fruits and Vegetables,190.3846,19,S,GS,573.2538
FDT,6.26,0.009866049,Meat,151.1366,35,S,ST1,2267.049
FDE,18.2,0.082551042,Fruits and Vegetables,147.3734,10,,GS,296.9468
NCD,13,0.099729888,Household,46.306,18,M,ST2,559.272
FDB,20.25,0.018801549,Fruits and Vegetables,222.1772,35,S,ST1,5559.43
NCT,8.695,0.119721451,Household,95.5094,49,M,ST1,1237.7222
DRF,7.27,0.071222087,Soft Drinks,113.5518,45,,ST1,569.259
FDM,,0.060371962,Breakfast,174.0712,27,M,ST3,3866.9664
FDF,12.85,0.033287541,Fruits and Vegetables,198.4768,45,,ST1,1379.5376
FDH,7.075,0.05858462,Dairy,142.7128,18,M,ST2,1869.5664
FDV,,0.11679292,Baking Goods,196.211,27,M,ST3,5499.508
FDY,8.195,0.031452265,Baking Goods,94.3462,49,M,ST1,925.462
FDK,7.09,0.00721395,Baking Goods,47.9034,35,S,ST1,583.2408
NCM,6.095,0.081196619,Others,141.4154,46,S,ST1,1418.154
FDE,19.35,0.049916364,Fruits and Vegetables,80.2644,17,,ST1,942.7728
FDU,6.15,0.04627095,Baking Goods,99.3384,46,S,ST1,2364.9216
FDV,,0.02747716,Canned,87.9856,27,M,ST3,3251.7672
FDV,,0.104704537,Fruits and Vegetables,125.2678,19,S,GS,254.3356
NCQ,17.7,0.012540003,Household,167.0474,35,S,ST1,5895.659
FDO,17.85,0.147023834,Breads,93.7436,18,M,ST2,1134.5232
DRE,9.395,0.159657596,Soft Drinks,224.972,45,,ST1,7696.648
DRP,15.75,0.141398626,Hard Drinks,250.5382,17,,ST1,2775.7202
FDB,7.475,0.148821808,Fruits and Vegetables,241.2854,45,,ST1,5317.0788
FDR,7.075,0,Frozen Foods,98.0068,18,M,ST2,874.8612
FDX,6.445,0.029691762,Baking Goods,92.6436,46,S,ST1,1039.9796
FDX,19.1,0.096715523,Fruits and Vegetables,235.0958,35,S,ST1,3038.0454
FDD,20.25,0.014790559,Dairy,193.6162,35,S,ST1,3848.324
FDA,15,0.054378253,Canned,59.1904,46,S,ST1,527.3136
FDS,6.67,0.123428594,Snack Foods,89.1514,46,S,ST1,2390.8878
FDM,,0.029943463,Canned,60.222,27,M,ST3,1677.816
FDB,16.7,0.052368061,Frozen Foods,112.7176,13,H,ST1,801.6232
FDF,7.07,0.093861144,Snack Foods,115.5834,45,,ST1,1267.0174
FDA,6.48,0.033968647,Snack Foods,148.0076,45,,ST1,886.8456
FDC,19,0.173154079,Fruits and Vegetables,228.272,10,,GS,452.744
FDB,13.35,0.139735226,Frozen Foods,147.5392,45,,ST1,3877.6192
FDY,,0.043351896,Fruits and Vegetables,146.6418,27,M,ST3,4414.254
DRQ,,0.042086652,Hard Drinks,122.4388,27,M,ST3,5448.9072
FDX,9.695,0.12848269,Baking Goods,223.9404,49,M,ST1,4950.8888
DRD,15,0.049357077,Soft Drinks,62.6168,17,,ST1,958.752
FDC,11.15,0.008326735,Dairy,149.9708,17,,ST1,1956.1204
FDB,20.85,0.021362955,Fruits and Vegetables,103.2306,49,M,ST1,2404.2038
NCK,9.8,0.151420934,Others,194.3478,10,,GS,387.4956
FDV,16.35,0.032511818,Meat,165.0842,13,H,ST1,994.7052
FDZ,9.6,0.022323658,Breads,101.299,45,,ST1,1754.383
NCW,,0.019292355,Health and Hygiene,129.9994,27,M,ST3,3340.9844
FDV,13.35,0.048124443,Breads,216.7166,45,,ST1,3918.8988
DRH,20.7,0.09261307,Dairy,76.367,13,H,ST1,306.268
FDN,,0.094697274,Baking Goods,158.4604,27,M,ST3,4278.4308
FDU,16.2,0.035984104,Fruits and Vegetables,260.6278,45,,ST1,4425.5726
FDN,,0.056596985,Snack Foods,230.9984,27,M,ST3,9267.936
FDC,,0.2047,Frozen Foods,76.867,19,S,GS,229.701
FDO,,0.020618324,Breakfast,129.3994,27,M,ST3,2055.9904
NCO,5.5,0.04709821,Others,101.3016,46,S,ST1,3339.6528
FDQ,15.1,0.087584126,Fruits and Vegetables,221.7456,45,,ST1,6410.3224
FDF,15.7,0.038078899,Frozen Foods,122.9046,17,,ST1,1992.0736
FDM,7.895,0.095102092,Breakfast,104.4332,17,,ST1,2870.9296
FDY,,0.011953902,Canned,164.5184,27,M,ST3,2807.0128
FDR,17.35,0.062799379,Baking Goods,88.183,13,H,ST1,539.298
NCY,7.285,0.031125709,Household,174.3054,13,H,ST1,4377.635
NCY,20.25,0.026005891,Household,180.9976,45,,ST1,2716.464
FDJ,,0.09246392,Snack Foods,190.9504,19,S,GS,383.5008
DRI,15.85,0.107765165,Soft Drinks,59.5904,49,M,ST1,703.0848
FDL,6.17,0.010647477,Meat,66.3826,49,M,ST1,1937.478
NCO,19.5,0.015749341,Household,182.2608,49,M,ST1,3307.6944
NCB,19.2,0.077628053,Household,197.611,49,M,ST1,3142.576
FDX,16.7,0,Canned,181.2292,18,M,ST2,2554.0088
FDP,20.85,0.056695731,Breads,104.0648,18,M,ST2,1869.5664
FDR,14.5,0.063993068,Breads,260.4594,45,,ST1,5494.8474
FDT,11.395,0.069529262,Meat,233.1616,13,H,ST1,6093.4016
DRI,7.97,0.034452949,Soft Drinks,174.0422,46,S,ST1,2586.633
FDU,7.71,0.06670068,Snack Foods,55.2956,49,M,ST1,1255.6988
FDH,19.25,0.034699737,Canned,141.7496,46,S,ST1,4093.3384
FDH,7.075,0.058346939,Dairy,142.2128,46,S,ST1,3163.8816
FDN,,0.065203103,Meat,166.0816,27,M,ST3,5033.448
FDH,11.6,0.078929571,Frozen Foods,79.9276,46,S,ST1,1137.1864
FDJ,,0.182514881,Fruits and Vegetables,98.77,27,M,ST3,2696.49
DRN,12.1,0.016895293,Hard Drinks,178.566,18,M,ST2,898.83
NCO,10,0.073379745,Health and Hygiene,118.244,46,S,ST1,2756.412
FDX,14.35,0.08075758,Baking Goods,81.896,45,,ST1,878.856
FDT,10.395,0.112271498,Snack Foods,58.222,49,M,ST1,659.142
FDX,,0.153741385,Dairy,182.6292,19,S,GS,182.4292
FDG,8.1,0.127929521,Fruits and Vegetables,211.4902,13,H,ST1,3610.6334
FDD,8.05,0.07838564,Fruits and Vegetables,256.4646,35,S,ST1,5153.292
FDS,9.195,0.078502143,Meat,108.7596,17,,ST1,2588.6304
